Nombre de Skill,Descripción,Comandos de Uso o Aplicación
ui-ux-pro-max,"Sistemas de diseño, estilos y guidelines de interfaz de usuario UX/UI.","Incluye herramienta CLI analítica. Uso en terminal de linux/mac: python3 ~/.agents/skills/ui-ux-pro-max/scripts/search.py 'palabras clave' --design-system"
web-performance-optimization,"Guía y checklists de optimización de tiempo de carga web y JS.","Lectura e implementación pasiva de directrices de Core Web Vitals y Code Splitting en su archivo SKILL.md."
3d-web-experience,"Mejores prácticas para integrar entornos de Three.js y React Three Fiber.","Aplica directrices de rendimiento en renders 3d de su archivo SKILL.md."
api-patterns,"Design guidelines para decidir entre REST, GraphQL y tRPC.","Consulta de diseño para servicios backend del SKILL.md correspondiente."
backend-dev-guidelines,"Pautas avanzadas para Node.js, Express y TypeScript.","Lectura de directrices para asegurar escalabilidad del lado del servidor."
canvas-design,"Diseños estáticos orientados a Posters / Elementos visuales en web 2D.","Utilización de recursos listados en la carpeta de la skill para implementaciones en HTML Canvas/React."
database-design,"Selección de esquemas y ORM eficientes para tu base de datos.","Aplica estos patrones de estructura de datos según lo indique el agente o leyendo la documentación interna."
frontend-design,"Cimientos y bases estéticas del Front-End moderno.","Referencia principal en la que un agente IA basará su refactoring de UI."
mobile-design,"Principios de diseño 'Mobile-First'.","Aplicación de reglas CSS/Layouts al momento de maquetar pantallas chicas."
nextjs-best-practices,"Lineamientos para utilizar Next.js (App Router y optimizaciones de Server Components).","Base de conocimiento a consultar al momento de interactuar con el framework Next.js."
react-best-practices,"Optimizaciones de rendimiento generales para aplicaciones React.","Checklist de implementaciones pasivas: Hooks eficientes, render limits y refactoring de estado global."
react-patterns,"Patrones y principios estandarizados y modernos para componentes funcionales en React.","Uso formativo de la IA para estandarizar el código con Arquitectura limpia."
scroll-experience,"Lineamientos para experiencias visuales inmersivas y conducidas por Scroll.","Lectura o uso a través de la IA para aplicar librerías como Framer Motion o ScrollMagic a secciones con alto nivel de animaciones interactuables."
senior-fullstack,"Guía completa para perfiles Fullstack integrando UI/UX y arquitecturas escalables.","Consulta base de cualquier duda para el flujo Fullstack completo, a requerimiento de la IA."
stripe-integration,"Modelos y configuraciones de pago y suscripción.","Patrones exactos a consultar antes de implementar Stripe como método de facturación web."
tailwind-patterns,"Mejores usos para Tailwind CSS V4 para maximizar el uso del tool en vez de CSS plano.","Infiere estas clases y patrones en caso de migrar tu proyecto de CSS Vanilla hacia Tailwind."
concise-planning,"Always start with a plan.","Invocación automática recomendada al inicio de cualquier ticket o requerimiento nuevo para generar plan de acción."
lint-and-validate,"Keep your code clean automatically.","Ejecución de validaciones estáticas para mantener el código limpio en todo momento."
git-pushing,"Save your work safely.","Uso concurrente con el entorno local para versionar cambios sin perder iteraciones del proyecto."
kaizen,"Continuous improvement mindset.","Reglas de mejora continua sobre la base de código existente, sugerido realizar refactorings progresivos."
systematic-debugging,"Debug like a pro.","Framework mental paso a paso para depurar y encontrar soluciones a errores de consola (ej: vite, npm)."
